fda_drug,clean_drug,base_drug,UMLS_CUI,Preferred_Term,Preferred_TTY
fluctine,fluctine,fluctine,,,
flunase 50 mcg 28 metered sprays,flunase 50 mcg 28 metered sprays,flunase 50 mcg 28 metered sprays,,,
fluorouracil unknown,fluorouracil unknown,fluorouracil unknown,,,
fluorouracile accord,fluorouracile accord,fluorouracile accord,,,
fluoxetin mepha,fluoxetin mepha,fluoxetin mepha,,,
fluoxetinratiopharm 20 mg tabletten,fluoxetinratiopharm 20 mg tabletten,fluoxetinratiopharm 20 mg tabletten,,,
fluoxetine watson laboratories,fluoxetine watson laboratories,fluoxetine watson laboratories,,,
fluoxetine 40mg,fluoxetine 40mg,fluoxetine 40mg,,,
fluoxetine 60mg,fluoxetine 60mg,fluoxetine 60mg,,,
fluoxetine arrow,fluoxetine arrow,fluoxetine arrow,,,
fluoxetine hydrochloride unknown,fluoxetine hydrochloride unknown,fluoxetine unknown,,,
fluoxetine hydrochloride 20mg,fluoxetine hydrochloride 20mg,fluoxetine 20mg,,,
fluticasonesalmeterol,fluticasonesalmeterol,fluticasonesalmeterol,,,
flutide diskus 100,flutide diskus 100,flutide diskus 100,,,
food fish and shellfish crab callinectes spp,food fish and shellfish crab callinectes spp,food fish and shellfish crab callinectes spp,,,
gabalon intrathecal 02,gabalon intrathecal 02,gabalon intrathecal 02,,,
gadoxetic acid disodium,gadoxetic acid disodium,gadoxetic acid disodium,,,
gai nuo,gai nuo,gai nuo,,,
galvus met,galvus met,galvus met,,,
ganglioside gm1,ganglioside gm1,ganglioside gm1,,,
gardenal 00023201,gardenal 00023201,gardenal 00023201,,,
gaviscon alginic acidaluminium hydroxide gel driedmagnesium trisil,gaviscon alginic acidaluminium hydroxide gel driedmagnesium trisil,gaviscon alginic acidaluminium hydroxide gel driedmagnesium trisil,,,
gemtuzumabgemtuzumab ozogamicin,gemtuzumabgemtuzumab ozogamicin,gemtuzumabgemtuzumab ozogamicin,,,
generic abilify,generic abilify,generic abilify,,,
generic abilify azipridrazole,generic abilify azipridrazole,generic abilify azipridrazole,,,
generic adderall,generic adderall,generic adderall,,,
generic concerta 54mg mallinckrodt,generic concerta 54mg mallinckrodt,generic concerta 54mg mallinckrodt,,,
generic depakote,generic depakote,generic depakote,,,
generic differin adapalene,generic differin adapalene,generic differin adapalene,,,
generic focalin,generic focalin,generic focalin,,,
generic focalin 10 mg,generic focalin 10 mg,generic focalin 10 mg,,,
generic focalin xr 30 mg,generic focalin 30 mg,generic focalin 30 mg,,,
generic for ritalin la 30mg,generic for ritalin la 30mg,generic for ritalin la 30mg,,,
generic form of seroquel xr,generic form of seroquel,generic form of seroquel,,,
generic guanfacine er 4mg,generic guanfacine 4mg,generic guanfacine 4mg,,,
generic intuniv,generic intuniv,generic intuniv,,,
generic intuniv guanfacine hcl er 3mg,generic intuniv guanfacine hcl 3mg,generic intuniv guanfacine 3mg,,,
generic keppra,generic keppra,generic keppra,,,
generic lexapro 25 mg,generic lexapro 25 mg,generic lexapro 25 mg,,,
generic singulair montelukast,generic singulair montelukast,generic singulair montelukast,,,
genuxal,genuxal,genuxal,,,
gernebcin,gernebcin,gernebcin,,,
gildess fe 1530,gildess fe 1530,gildess fe 1530,,,
gildess fe 120,gildess fe 120,gildess fe 120,,,
gizord,gizord,gizord,,,
gleolan,gleolan,gleolan,,,
glucidion,glucidion,glucidion,,,
glucocorticoid,glucocorticoid,glucocorticoid,,,
glucocorticoid therapy,glucocorticoid therapy,glucocorticoid therapy,,,
glucose monohydrate lidocaine hydrochloride monohydrateglucose m,glucose monohydrate lidocaine hydrochloride monohydrateglucose m,glucose monohydrate lidocaine monohydrateglucose m,,,
glucurolactone,glucurolactone,glucurolactone,,,
glyceol,glyceol,glyceol,,,
glycopyrrolate 00196202,glycopyrrolate 00196202,glycopyrrolate 00196202,,,
glycopyrrolateneostigmine,glycopyrrolateneostigmine,glycopyrrolateneostigmine,,,
golamixin,golamixin,golamixin,,,
gonadotropin chorionic,gonadotropin chorionic,gonadotropin chorionic,,,
good sense daytime nighttime,good sense daytime nighttime,good sense daytime nighttime,,,
goreisan,goreisan,goreisan,,,
gpo l one,gpo l one,gpo l one,,,
graceptor,graceptor,graceptor,,,
granitumab,granitumab,granitumab,,,
granocyte,granocyte,granocyte,,,
granudoxy doxycycline,granudoxy doxycycline,granudoxy doxycycline,,,
granulocyte colonystimulating factor,granulocyte colonystimulating factor,granulocyte colonystimulating factor,,,
granulocytemacrophage colony stimulating factor unspecified,granulocytemacrophage colony stimulating factor unspecified,granulocytemacrophage colony stimulating factor unspecified,,,
graphalon antithymocyte immunoglobulin,graphalon antithymocyte immunoglobulin,graphalon antithymocyte immunoglobulin,,,
grass smut mix,grass smut mix,grass smut mix,,,
grazax,grazax,grazax,,,
guanfacin 2mg retard,guanfacin 2mg retard,guanfacin 2mg retard,,,
guanfacin retard,guanfacin retard,guanfacin retard,,,
guanfacina,guanfacina,guanfacina,,,
guanfacine aellc,guanfacine aellc,guanfacine aellc,,,
guanfacine 1 mg 1 mg,guanfacine 1 mg 1 mg,guanfacine 1 mg 1 mg,,,
guanfacine actavis,guanfacine actavis,guanfacine actavis,,,
guanfacine er 3 mg 3 mg actavis,guanfacine 3 mg 3 mg actavis,guanfacine 3 mg 3 mg actavis,,,
guanfacine er 3mg actavis,guanfacine 3mg actavis,guanfacine 3mg actavis,,,
guanfacine er 4mg tablet,guanfacine 4mg,guanfacine 4mg,,,
guanfacine extendedrelease,guanfacine extendedrelease,guanfacine extendedrelease,,,
guanfacine hcl er 4mg sandoz,guanfacine hcl 4mg sandoz,guanfacine 4mg sandoz,,,
guanfacine tablets usp,guanfacine usp,guanfacine usp,,,
guanfacine 4mg mylan,guanfacine 4mg mylan,guanfacine 4mg mylan,,,
guanfacino hcl er 2 mg per hparm,guanfacino hcl 2 mg per hparm,guanfacino 2 mg per hparm,,,
guanficine 2mg,guanficine 2mg,guanficine 2mg,,,
gadovist 10 mmolml solution for injection,gadovist 10 mmolml for,gadovist 10 mmolml for,,,
generic ivig,generic ivig,generic ivig,,,
generic strattera,generic strattera,generic strattera,,,
genotonorm kabipen,genotonorm kabipen,genotonorm kabipen,,,
glucidion g,glucidion g,glucidion g,,,
glycopyrrolate tablets usp,glycopyrrolate usp,glycopyrrolate usp,,,
granocyte,granocyte,granocyte,,,
guanfacin 2mg,guanfacin 2mg,guanfacin 2mg,,,
guanfacine hydrochloride extendedrelease tablets,guanfacine hydrochloride extendedrelease,guanfacine extendedrelease,,,
hp acthar gel,hp acthar gel,hp acthar gel,,,
haes manufacturer unknown hydroxyethylstarch hydro,haes manufacturer unknown hydroxyethylstarch hydro,haes manufacturer unknown hydroxyethylstarch hydro,,,
halotan,halotan,halotan,,,
havlane,havlane,havlane,,,
hcg,hcg,hcg,,,
heipram,heipram,heipram,,,
heipram 10 mg comprimidos recubiertos con pelicula efg 28 comprimidos,heipram 10 mg comprimidos recubiertos con pelicula efg 28 comprimidos,heipram 10 mg comprimidos recubiertos con pelicula efg 28 comprimidos,,,
herbal preparation,herbal preparation,herbal preparation,,,
herbalshouttuynia cordata whole,herbalshouttuynia cordata whole,herbalshouttuynia cordata whole,,,
herbalsmenthol,herbalsmenthol,herbalsmenthol,,,
herpesin,herpesin,herpesin,,,
herpevir,herpevir,herpevir,,,
heviran,heviran,heviran,,,
hicon,hicon,hicon,,,
hidonac,hidonac,hidonac,,,
hidonac 5 g25 ml solution injectable pour perfusion,hidonac 5 g25 ml injectable pour perfusion,hidonac 5 g25 ml injectable pour perfusion,,,
high dose methotrexate,high dose methotrexate,high dose methotrexate,,,
histex pd drops,histex pd,histex pd,,,
holoksan 2 g ifosfamide,holoksan 2 g ifosfamide,holoksan 2 g ifosfamide,,,
holoxan 2gm,holoxan 2gm,holoxan 2gm,,,
holoxan 2000 mg por oldatos injekci hoz,holoxan 2000 mg por oldatos injekci hoz,holoxan 2000 mg por oldatos injekci hoz,,,
holoxan 2000 mg pulver til injeksjonsv skeinfusjonsv ske oppl sning,holoxan 2000 mg pulver til injeksjonsv skeinfusjonsv ske oppl sning,holoxan 2000 mg pulver til injeksjonsv skeinfusjonsv ske oppl sning,,,
holoxan 2000 mg poudre pour usage parenteral,holoxan 2000 mg poudre pour usage parenteral,holoxan 2000 mg poudre pour usage parenteral,,,
holoxan 3 g lyophilisat pour solution injectable,holoxan 3 g lyophilisat pour injectable,holoxan 3 g lyophilisat pour injectable,,,
holoxan 500 mg,holoxan 500 mg,holoxan 500 mg,,,
holoxan ifosfamide 2g powder for injection vial of,holoxan ifosfamide 2g powder for vial of,holoxan ifosfamide 2g powder for vial of,,,
holoxan ifosfamide 3g powder for injection via l,holoxan ifosfamide 3g powder for via l,holoxan ifosfamide 3g powder for via l,,,
holoxan ifosfamide 3g powder for injection vial,holoxan ifosfamide 3g powder for vial,holoxan ifosfamide 3g powder for vial,,,
holoxan inj 1gm 30ml vial,holoxan 1gm 30ml vial,holoxan 1gm 30ml vial,,,
holoxane,holoxane,holoxane,,,
homeopathic constipation relief 20 ethanol cvs,homeopathic constipation relief 20 ethanol cvs,homeopathic constipation relief 20 ethanol cvs,,,
homeopatic preparation,homeopatic preparation,homeopatic preparation,,,
horseantithymocyte globulin,horseantithymocyte globulin,horseantithymocyte globulin,,,
hpv 1618,hpv 1618,hpv 1618,,,
human albumin 50gl baxter,human albumin 50gl baxter,human albumin 50gl baxter,,,
human antid immunoglobulin,human antid immunoglobulin,human antid immunoglobulin,,,
human coagulation factor viii human von willebrand factor,human coagulation factor viii human von willebrand factor,human coagulation factor viii human von willebrand factor,,,
human growth hormone,human growth hormone,human growth hormone,,,
human growth hormone recombinant,human growth hormone recombinant,human growth hormone recombinant,,,
human immunoglobulin iv inn,human immunoglobulin iv inn,human immunoglobulin iv inn,,,
human insulin,human insulin,human insulin,,,
human insulin rdna origin 50 regular 50 nph,human insulin rdna origin 50 regular 50 nph,human insulin rdna origin 50 regular 50 nph,,,
human normal immunoglobulin hyaluronidase,human normal immunoglobulin hyaluronidase,human normal immunoglobulin hyaluronidase,,,
human papilloma vaccine cervarix,human papilloma vaccine cervarix,human papilloma vaccine cervarix,,,
huminsulin basal,huminsulin basal,huminsulin basal,,,
hydrocodone paracetamol,hydrocodone paracetamol,hydrocodone paracetamol,,,
hydrocodone apap 5325 mg mckessen packag,hydrocodone apap 5325 mg mckessen packag,hydrocodone apap 5325 mg mckessen packag,,,
hydrocodone and acetaminophen,hydrocodone and acetaminophen,hydrocodone and acetaminophen,,,
hydrocodonechlorpheniramine 10mg5m kremerl,hydrocodonechlorpheniramine 10mg5m kremerl,hydrocodonechlorpheniramine 10mg5m kremerl,,,
hydrocodoneibuprofen,hydrocodoneibuprofen,hydrocodoneibuprofen,,,
hydrocortancyl,hydrocortancyl,hydrocortancyl,,,
hydrocortancyl 00016201,hydrocortancyl 00016201,hydrocortancyl 00016201,,,
hydrocortancyl 00016201,hydrocortancyl 00016201,hydrocortancyl 00016201,,,
hydrocorticone,hydrocorticone,hydrocorticone,,,
hydrocortison 00028601,hydrocortison 00028601,hydrocortison 00028601,,,
hydrocortison 00028601,hydrocortison 00028601,hydrocortison 00028601,,,
hydrocortisone hydrocortisone acetate,hydrocortisone hydrocortisone acetate,hydrocortisone hydrocortisone,,,
hydrocortisone hydrocortisone hydrocortisone,hydrocortisone hydrocortisone hydrocortisone,hydrocortisone hydrocortisone hydrocortisone,,,
hydrocortisone 1,hydrocortisone 1,hydrocortisone 1,,,
hydrocortisone hydrogen succinate,hydrocortisone hydrogen succinate,hydrocortisone hydrogen,,,
hydrocortisone succinat sodic,hydrocortisone succinat sodic,hydrocortisone succinat sodic,,,
hydrocortisoneneomycinpolymyxin b,hydrocortisoneneomycinpolymyxin b,hydrocortisoneneomycinpolymyxin b,,,
hydromorphone hydromorphone unknown hydromorphone,hydromorphone hydromorphone unknown hydromorphone,hydromorphone hydromorphone unknown hydromorphone,,,
hydroprednisone,hydroprednisone,hydroprednisone,,,
hydroxeurea,hydroxeurea,hydroxeurea,,,
hydroxychloroquine 00072603,hydroxychloroquine 00072603,hydroxychloroquine 00072603,,,
hydroxychloroquine 00072603,hydroxychloroquine 00072603,hydroxychloroquine 00072603,,,
hydroxychloroquine 200 mg tabs ranbaxy,hydroxychloroquine 200 mg ranbaxy,hydroxychloroquine 200 mg ranbaxy,,,
hydroxychloroquine 200 mg tabs zydus,hydroxychloroquine 200 mg zydus,hydroxychloroquine 200 mg zydus,,,
hydroxydaunorubicin,hydroxydaunorubicin,hydroxydaunorubicin,,,
hydroxyzine chlorhydrate d,hydroxyzine chlorhydrate d,hydroxyzine chlorhydrate d,,,
hydroxyzine 25mg watson pharmaceuticals,hydroxyzine 25mg watson pharmaceuticals,hydroxyzine 25mg watson pharmaceuticals,,,
hypertension therapy,hypertension therapy,hypertension therapy,,,
human factor ix inn,human factor ix inn,human factor ix inn,,,
human immunoglobulin,human immunoglobulin,human immunoglobulin,,,
human immunoglobulin non company,human immunoglobulin non company,human immunoglobulin non company,,,
human immunoglobulin,human immunoglobulin,human immunoglobulin,,,
human normal immunglobulin,human normal immunglobulin,human normal immunglobulin,,,
human rabies immunoglobulin,human rabies immunoglobulin,human rabies immunoglobulin,,,
humanalbumin 20 behring,humanalbumin 20 behring,humanalbumin 20 behring,,,
hydrocortancyl,hydrocortancyl,hydrocortancyl,,,
hydrocortisone unknown,hydrocortisone unknown,hydrocortisone unknown,,,
hydrocortisone upjohn,hydrocortisone upjohn,hydrocortisone upjohn,,,
hydromorphone hcl similar to 19 892,hydromorphone hcl similar to 19 892,hydromorphone similar to 19 892,,,
hydroxytryptophan 5 htp,hydroxytryptophan 5 htp,hydroxytryptophan 5 htp,,,
hypertonic saline,hypertonic saline,hypertonic saline,,,
iasparaginase,iasparaginase,iasparaginase,,,
ibandronsaeure 3 mg,ibandronsaeure 3 mg,ibandronsaeure 3 mg,,,
ibu lysinhexal 684 mg filmtabletten,ibu lysinhexal 684 mg filmtabletten,ibu lysinhexal 684 mg filmtabletten,,,
ic clindamycin hcl 300 mg,ic clindamycin hcl 300 mg,ic clindamycin 300 mg,,,
ic guanfacine hcl er 3 mg,ic guanfacine hcl 3 mg,ic guanfacine 3 mg,,,
icy hot medicated no mess applicator,icy hot medicated no mess applicator,icy hot medicated no mess applicator,,,
idarubicin hydrochloride manufacturer unknown idarubicin hydrochloride idarubicin hydrochloride,idarubicin hydrochloride manufacturer unknown idarubicin hydrochloride idarubicin hydrochloride,idarubicin manufacturer unknown idarubicin idarubicin,,,
igiv manufacturer product unknown human normal immunoglobulin 5 pct,igiv manufacturer product unknown human normal immunoglobulin 5 pct,igiv manufacturer product unknown human normal immunoglobulin 5 pct,,,
imeth 00113801,imeth 00113801,imeth 00113801,,,
imeth 10 mg comprime secable,imeth 10 mg comprime secable,imeth 10 mg comprime secable,,,
imeth 10 mg comprime secable,imeth 10 mg comprime secable,imeth 10 mg comprime secable,,,
imeth methotrexate sodium,imeth methotrexate sodium,imeth methotrexate,,,
imigrane,imigrane,imigrane,,,
immune globulin ivig,immune globulin ivig,immune globulin ivig,,,
immunoglobulin immunoglobulins nos,immunoglobulin immunoglobulins nos,immunoglobulin immunoglobulins nos,,,
immunoglobulin nos,immunoglobulin nos,immunoglobulin nos,,,
immunoglobulin varicellazoster,immunoglobulin varicellazoster,immunoglobulin varicellazoster,,,
immunoglobulin immune globulin ivig,immunoglobulin immune globulin ivig,immunoglobulin immune globulin ivig,,,
immunoglobulin immunoglobulin human normal,immunoglobulin immunoglobulin human normal,immunoglobulin immunoglobulin human normal,,,
immunoglobulina di coniglio antitimociti uman i,immunoglobulina di coniglio antitimociti uman i,immunoglobulina di coniglio antitimociti uman i,,,
imukin interferon gamma1b,imukin interferon gamma1b,imukin interferon gamma1b,,,
imurel 50 mg comprimidos recubiertos con pelicula 50 comprimidos,imurel 50 mg comprimidos recubiertos con pelicula 50 comprimidos,imurel 50 mg comprimidos recubiertos con pelicula 50 comprimidos,,,
imusera,imusera,imusera,,,
inc424,inc424,inc424,,,
incb 018424,incb 018424,incb 018424,,,
incb018242 ruxolitinib,incb018242 ruxolitinib,incb018242 ruxolitinib,,,
incbo18424,incbo18424,incbo18424,,,
indocollyre,indocollyre,indocollyre,,,
indocollyre 01 1 mgml krople do oczu roztwor,indocollyre 01 1 mgml krople do oczu roztwor,indocollyre 01 1 mgml krople do oczu roztwor,,,
indoxen,indoxen,indoxen,,,
inexium 01479303,inexium 01479303,inexium 01479303,,,
infacol,infacol,infacol,,,
infectoopticef,infectoopticef,infectoopticef,,,
infilimmib 1200mg,infilimmib 1200mg,infilimmib 1200mg,,,
influenza vaccine inact,influenza vaccine inact,influenza vaccine inact,,,
influenza vaccine inact sag 3v,influenza vaccine inact sag 3v,influenza vaccine inact sag 3v,,,
inorial 20 mg comprim,inorial 20 mg comprim,inorial 20 mg comprim,,,
inosiplex,inosiplex,inosiplex,,,
inotuzumab atu,inotuzumab atu,inotuzumab atu,,,
insulin beef,insulin beef,insulin beef,,,
insulin crystaline,insulin crystaline,insulin crystaline,,,
insulin glargineyfgn,insulin glargineyfgn,insulin glargineyfgn,,,
insulin human nos,insulin human nos,insulin human nos,,,
insulin zinc suspension crystalline,insulin zinc crystalline,insulin zinc crystalline,,,
interferon alfa2b interferon alfa2b,interferon alfa2b interferon alfa2b,interferon alfa2b interferon alfa2b,,,
interferon beta 1a recombinant,interferon beta 1a recombinant,interferon beta 1a recombinant,,,
interferonalpha2b,interferonalpha2b,interferonalpha2b,,,
interferongamma,interferongamma,interferongamma,,,
interleukin 2,interleukin 2,interleukin 2,,,
intralipos,intralipos,intralipos,,,
inyeccion de lactato de ringer,inyeccion de lactato de ringer,inyeccion de lactato de ringer,,,
iobenguane 123 i,iobenguane 123 i,iobenguane 123 i,,,
iobenguane 131 i,iobenguane 131 i,iobenguane 131 i,,,
iodotope,iodotope,iodotope,,,
iosalide,iosalide,iosalide,,,
iphosphamide,iphosphamide,iphosphamide,,,
iprafeine,iprafeine,iprafeine,,,
iprafeine 400 mg100 mg comprime pellicule,iprafeine 400 mg100 mg comprime pellicule,iprafeine 400 mg100 mg comprime pellicule,,,
irfen,irfen,irfen,,,
irfen 400mg,irfen 400mg,irfen 400mg,,,
isepamicin,isepamicin,isepamicin,,,
isonicotinylhydrazide,isonicotinylhydrazide,isonicotinylhydrazide,,,
isotretinoin isotretinoin unknown,isotretinoin isotretinoin unknown,isotretinoin isotretinoin unknown,,,
isotretinoin 20mg,isotretinoin 20mg,isotretinoin 20mg,,,
isotretinoin 30mg teva,isotretinoin 30mg teva,isotretinoin 30mg teva,,,
isotretinoin actavis 10 mg,isotretinoin actavis 10 mg,isotretinoin actavis 10 mg,,,
isotretinoin capsules usp 40mg teva,isotretinoin usp 40mg teva,isotretinoin usp 40mg teva,,,
isotretinoin actavis,isotretinoin actavis,isotretinoin actavis,,,
isotretinoin teva,isotretinoin teva,isotretinoin teva,,,
isotretinoinmepha 20,isotretinoinmepha 20,isotretinoinmepha 20,,,
isotretinoinratiopharm 10 mg weichkapseln,isotretinoinratiopharm 10 mg weichkapseln,isotretinoinratiopharm 10 mg weichkapseln,,,
isotretinoina 10 mg soft capsules difa cooper spa,isotretinoina 10 mg soft difa cooper spa,isotretinoina 10 mg soft difa cooper spa,,,
isotretinoina difa cooper 20 mg capsule molli,isotretinoina difa cooper 20 mg molli,isotretinoina difa cooper 20 mg molli,,,
isotretinoine acnetrait 40 mg capsule molle,isotretinoine acnetrait 40 mg molle,isotretinoine acnetrait 40 mg molle,,,
isotretinoine capsule zacht 20mg,isotretinoine zacht 20mg,isotretinoine zacht 20mg,,,
isotretinoine capsule zacht 20mg brand name not specified,isotretinoine zacht 20mg brand name not specified,isotretinoine zacht 20mg brand name not specified,,,
isotretinoine capsule zacht 20mg capsule 20 mg milligram,isotretinoine zacht 20mg 20 mg milligram,isotretinoine zacht 20mg 20 mg milligram,,,
isotretinoine capsule 20 mg milligram,isotretinoine 20 mg milligram,isotretinoine 20 mg milligram,,,
isotretinoine sun 10 mg zachte capsules,isotretinoine sun 10 mg zachte,isotretinoine sun 10 mg zachte,,,
isozol,isozol,isozol,,,
itranax,itranax,itranax,,,
iud nos,iud nos,iud nos,,,
ixifi,ixifi,ixifi,,,
ixprim,ixprim,ixprim,,,
ixprim acetaminophen tramadol hydrochloride,ixprim acetaminophen tramadol hydrochloride,ixprim acetaminophen tramadol,,,
izilox,izilox,izilox,,,
izoniazid,izoniazid,izoniazid,,,
ibux,ibux,ibux,,,
igpro20,igpro20,igpro20,,,
imigran nasal spray,imigran nasal,imigran nasal,,,
imigrane,imigrane,imigrane,,,
immuneglobulin,immuneglobulin,immuneglobulin,,,
influenza vaccination,influenza vaccination,influenza vaccination,,,
insulatard hm,insulatard hm,insulatard hm,,,
ipren,ipren,ipren,,,
irfen600 lactab,irfen600 lactab,irfen600 lactab,,,
isdiben,isdiben,isdiben,,,
isotretinoin actavis,isotretinoin actavis,isotretinoin actavis,,,
isotretinoin not otherwise specified,isotretinoin not otherwise specified,isotretinoin not otherwise specified,,,
izilox,izilox,izilox,,,
jadelle,jadelle,jadelle,,,
jakavi ruxolitinib phosphate,jakavi ruxolitinib phosphate,jakavi ruxolitinib,,,
jasmine drospirenoneethinylestradiol,jasmine drospirenoneethinylestradiol,jasmine drospirenoneethinylestradiol,,,
jasminelle,jasminelle,jasminelle,,,
jaydess,jaydess,jaydess,,,
junel fe 120,junel fe 120,junel fe 120,,,
jaqinus,jaqinus,jaqinus,,,
k phosphate,k phosphate,k,,,
k27m peptide vaccine,k27m peptide vaccine,k27m peptide vaccine,,,
kaf156,kaf156,kaf156,,,
kaifen ambroxol hydrochloride,kaifen ambroxol hydrochloride,kaifen ambroxol,,,
kalinox 170 bar gaz pour inhalation en bouteille,kalinox 170 bar gaz pour inhalation en bouteille,kalinox 170 bar gaz pour inhalation en bouteille,,,
kalinox 170 bar gaz pour inhalation en bouteille,kalinox 170 bar gaz pour inhalation en bouteille,kalinox 170 bar gaz pour inhalation en bouteille,,,
kalinox 5050 nitrous oxideoxygen,kalinox 5050 nitrous oxideoxygen,kalinox 5050 nitrous oxideoxygen,,,
kang bing du kou fu ye,kang bing du kou fu ye,kang bing du kou fu ye,,,
kanglineng,kanglineng,kanglineng,,,
kaytwo n,kaytwo n,kaytwo n,,,
kefzol,kefzol,kefzol,,,
keishikashakuyakudaioto,keishikashakuyakudaioto,keishikashakuyakudaioto,,,
kenacort a,kenacort a,kenacort a,,,
kestin,kestin,kestin,,,
kestinlyo,kestinlyo,kestinlyo,,,
ketesse,ketesse,ketesse,,,
ketipinor,ketipinor,ketipinor,,,
ketolar,ketolar,ketolar,,,
ketorin,ketorin,ketorin,,,
kiddi pharmaton,kiddi pharmaton,kiddi pharmaton,,,
kidrolase escherichia coli derived,kidrolase escherichia coli derived,kidrolase escherichia coli derived,,,
kinecteen,kinecteen,kinecteen,,,
kinecteen 54 mg,kinecteen 54 mg,kinecteen 54 mg,,,
kiovig 10 g100 ml,kiovig 10 g100 ml,kiovig 10 g100 ml,,,
kiovig 10g100ml iv inf zyon i in zelti i eren flakon,kiovig 10g100ml iv inf zyon i in zelti i eren flakon,kiovig 10g100ml iv inf zyon i in zelti i eren flakon,,,
kiovig human normal immunoglobulin ivig 10,kiovig human normal immunoglobulin ivig 10,kiovig human normal immunoglobulin ivig 10,,,
kiovig liquid10solution for infusionvial glass immunoglobulin normal human solution for infusion,kiovig liquid10solution for infusionvial glass immunoglobulin normal human for infusion,kiovig liquid10solution for infusionvial glass immunoglobulin normal human for infusion,,,
kiovig rastvor za infuziju 5g 50 ml,kiovig rastvor za infuziju 5g 50 ml,kiovig rastvor za infuziju 5g 50 ml,,,
kirkland signature ibuprofen,kirkland signature ibuprofen,kirkland signature ibuprofen,,,
kirkland signature minoxidil,kirkland signature minoxidil,kirkland signature minoxidil,,,
kisspeptin 10,kisspeptin 10,kisspeptin 10,,,
klacid 500 mg compresse rivestite,klacid 500 mg compresse rivestite,klacid 500 mg compresse rivestite,,,
klacid clarithromycin,klacid clarithromycin,klacid clarithromycin,,,
klaira,klaira,klaira,,,
klipal,klipal,klipal,,,
kxl system,kxl system,kxl system,,,
kxl system,kxl system,kxl system,,,
kaftrio,kaftrio,kaftrio,,,
kinecteen,kinecteen,kinecteen,,,
kinecteen 36 mg,kinecteen 36 mg,kinecteen 36 mg,,,
kinecteen 54 mg,kinecteen 54 mg,kinecteen 54 mg,,,
kiovig 100 mgml,kiovig 100 mgml,kiovig 100 mgml,,,
klavocin dt,klavocin dt,klavocin dt,,,
l thyroxin,l thyroxin,l thyroxin,,,
larginine,larginine,larginine,,,
larginine arginine,larginine arginine,larginine arginine,,,
lasp,lasp,lasp,,,
lasparaginase asparaginase unknown asparaginase,lasparaginase asparaginase unknown asparaginase,lasparaginase asparaginase unknown asparaginase,,,
lasparaginase lasparaginase unknown,lasparaginase lasparaginase unknown,lasparaginase lasparaginase unknown,,,
lcarnitine 200 mgml,lcarnitine 200 mgml,lcarnitine 200 mgml,,,
lohp,lohp,lohp,,,
lthyroxin levothyroxine,lthyroxin levothyroxine,lthyroxin levothyroxine,,,
l thyroxin,l thyroxin,l thyroxin,,,
l thyroxin 100ug,l thyroxin 100ug,l thyroxin 100ug,,,
l thyroxin 125 ug,l thyroxin 125 ug,l thyroxin 125 ug,,,
l thyroxin levothyroxine sodium,l thyroxin levothyroxine sodium,l thyroxin levothyroxine,,,
l carbocysteine,l carbocysteine,l carbocysteine,,,
la roche posay laboratoire dermatologiqueeffaclar duo effaclar duo,la roche posay laboratoire dermatologiqueeffaclar duo effaclar duo,la roche posay laboratoire dermatologiqueeffaclar duo effaclar duo,,,
lacosamida 8279a,lacosamida 8279a,lacosamida 8279a,,,
lactated ringers injection usp in flex plastic container lactated ringers,lactated ringers usp in flex plastic container lactated ringers,lactated ringers usp in flex plastic container lactated ringers,,,
ladonna,ladonna,ladonna,,,
lamaline,lamaline,lamaline,,,
lamaline acetaminophenbelladonna leafcaffeineopium,lamaline acetaminophenbelladonna leafcaffeineopium,lamaline acetaminophenbelladonna leafcaffeineopium,,,
lamaline acetaminophencaffeineopium,lamaline acetaminophencaffeineopium,lamaline acetaminophencaffeineopium,,,
lamivudinehbv,lamivudinehbv,lamivudinehbv,,,
lamotrigin 1a pharma,lamotrigin 1a pharma,lamotrigin 1a pharma,,,
lamotrigin desitin,lamotrigin desitin,lamotrigin desitin,,,
lamotrix,lamotrix,lamotrix,,,
lantarel,lantarel,lantarel,,,
lanvis 40 mg,lanvis 40 mg,lanvis 40 mg,,,
larin fe 120,larin fe 120,larin fe 120,,,
laroxyl 25 mg comprime pellicule,laroxyl 25 mg comprime pellicule,laroxyl 25 mg comprime pellicule,,,
laroxyl 50 mg comprime pellicule,laroxyl 50 mg comprime pellicule,laroxyl 50 mg comprime pellicule,,,
lasilix 00032601,lasilix 00032601,lasilix 00032601,,,
ldk 378,ldk 378,ldk 378,,,
lectrum,lectrum,lectrum,,,
lederfoline 5 mg comprime,lederfoline 5 mg comprime,lederfoline 5 mg comprime,,,
lederfoline 5 mg comprime,lederfoline 5 mg comprime,lederfoline 5 mg comprime,,,
ledipsofosb tab 90400mg tab2x14,ledipsofosb 90400mg tab2x14,ledipsofosb 90400mg tab2x14,,,
leeloo,leeloo,leeloo,,,
leeloo 01 mg002 mg comprim enrob,leeloo 01 mg002 mg comprim enrob,leeloo 01 mg002 mg comprim enrob,,,
leeloo 01 mg002 mg,leeloo 01 mg002 mg,leeloo 01 mg002 mg,,,
leeloo 01 mg 002 mg,leeloo 01 mg 002 mg,leeloo 01 mg 002 mg,,,
leeloo 01 mg002 mg,leeloo 01 mg002 mg,leeloo 01 mg002 mg,,,
