cui,rxnorm_tty,rxnorm_name,atc_codes,atc_labels
C2728187,IN,macadamia nut allergenic extract,,
C2728189,IN,poppy seed allergenic extract,,
C2728190,IN,kiwi fruit allergenic extract,,
C2728191,IN,licorice allergenic extract,,
C2728192,IN,white pepper allergenic extract,,
C2728193,IN,mango allergenic extract,,
C2728194,IN,chocolate allergenic extract,,
C2729981,IN,bluefish allergenic extract,,
C2730104,IN,pecan allergenic extract,,
C2730186,IN,cashew nut allergenic extract,,
C2730227,IN,egg white (chicken) allergenic extract,,
C2730230,IN,egg yolk (chicken) allergenic extract,,
C2730252,IN,rice (whole grain) allergenic extract,,
C2731508,IN,dog hair extract,,
C2731559,IN,apricot allergenic extract,,
C2731839,IN,short ragweed pollen extract,,
C2732002,PIN,"antihemophilic factor, human recombinant",,
C2732016,,,,
C2733014,,,,
C2740585,IN,basil allergenic extract,,
C2740590,IN,black pepper allergenic extract,,
C2740600,IN,blueberry allergenic extract,,
C2740603,IN,broccoli allergenic extract,,
C2740609,IN,buckwheat allergenic extract,,
C2740612,IN,cabbage allergenic extract,,
C2740617,IN,garlic allergenic extract,,
C2740621,IN,ginger allergenic extract,,
C2740624,IN,grapefruit allergenic extract,,
C2740631,IN,herring allergenic extract,,
C2740637,IN,lentil allergenic extract,,
C2740640,IN,lettuce allergenic extract,,
C2740643,IN,mustard greens allergenic extract,,
C2740646,IN,mustard seed allergenic extract,,
C2740652,IN,onion allergenic extract,,
C2740668,IN,black-eyed pea allergenic extract,,
C2740746,IN,caraway seed allergenic extract,,
C2740760,IN,cauliflower allergenic extract,,
C2740768,IN,cinnamon allergenic extract,,
C2740787,IN,clove allergenic extract,,
C2740793,IN,cranberry allergenic extract,,
C2740796,IN,cucumber allergenic extract,,
C2740799,IN,date allergenic extract,,
C2740802,IN,flounder allergenic extract,,
C2740841,IN,paprika allergenic extract,,
C2740844,IN,parsley allergenic extract,,
C2740859,IN,pineapple allergenic extract,,
C2740867,IN,raspberry allergenic extract,,
C2740876,IN,scallop allergenic extract,,
C2740952,IN,Atlantic cod allergenic extract,,
C2740956,IN,Atlantic salmon allergenic extract,,
C2741435,IN,Concord grape allergenic extract,,
C2741438,IN,safflower seed allergenic extract,,
C2741441,IN,sesame seed allergenic extract,,
C2741444,IN,sunflower seed allergenic extract,,
C2741453,IN,watermelon allergenic extract,,
C2741458,IN,white fish allergenic extract,,
C2741474,IN,swordfish allergenic extract,,
C2741480,IN,vanilla bean allergenic extract,,
C2741489,IN,sweet cherry allergenic extract,,
C2741492,IN,sweet potato allergenic extract,,
C2741496,IN,spearmint allergenic extract,,
C2741499,IN,spinach allergenic extract,,
C2741520,IN,tapioca starch allergenic extract,,
C2741531,IN,cumin allergenic extract,,
C2741534,IN,cultivated mushroom allergenic extract,,
C2741542,IN,lemon allergenic extract,,
C2742502,IN,ramucirumab,L01FG02,ramucirumab
C2742503,IN,obinutuzumab,L01FA03,obinutuzumab
C2742797,IN,vedolizumab,L04AG05,vedolizumab
C2743673,IN,teplizumab,A10XX01,teplizumab
C2743752,,,L01XH05,entinostat
C2744440,IN,niraparib,L01XK02,niraparib
C2744850,IN,tedizolid,J01XX11,tedizolid
C2744862,,,,
C2745274,IN,tafamidis,N07XX08,tafamidis
C2746063,IN,imetelstat,L01XX80,imetelstat
C2746078,IN,linagliptin,A10BH05,linagliptin
C2746955,IN,carob allergenic extract,,
C2746991,,,,
C2747686,IN,Penicillium camemberti allergenic extract,,
C2747700,IN,Paecilomyces variotii allergenic extract,,
C2756160,IN,Rhodotorula mucilaginosa allergenic extract,,
C2756297,IN,house fly extract,,
C2756785,IN,Eucalyptus globulus leaf extract,,
C2756786,IN,Glycyrrhiza glabra extract,,
C2756957,PIN,"lymphocyte immune globulin, anti-thymocyte globulin, equine",L04AA03,antilymphocyte immunoglobulin (horse)
C2825044,PIN,dehydrated alcohol,,
C2825286,IN,finafloxacin,,
C2825327,PIN,aceneuramic acid,M09AX05,aceneuramic acid
C2825351,,,,
C2825385,IN,hydroxyethylpiperazine ethane sulfonic acid,,
C2825457,PIN,bosentan anhydrous,,
C2825462,PIN,levomefolic acid,,
C2825587,,,,
C2825616,IN,esketamine,N01AX14;N06AX27,esketamine
C2825635,IN,tulathromycin A,,
C2825721,,,,
C2825830,PIN,maltose anhydrous,,
C2826072,IN,povidone K29-32,,
C2826076,PIN,nonacog alfa,,
C2826077,PIN,"factor VII, human",,
C2826078,PIN,"coagulation factor X, human",,
C2826356,,,,
C2827093,IN,butylscopolamine,A03BB01,butylscopolamine
C2827132,IN,denatonium,,
C2827241,IN,lomitapide,C10AX12,lomitapide
C2827257,PIN,lisinopril anhydrous,,
C2828245,,,,
C2828282,PIN,amoxicillin anhydrous,,
C2828290,IN,delafloxacin,J01MA23,delafloxacin
C2828294,PIN,iodide ion I-131,,
C2828299,,,P01BE05,artenimol
C2828369,PIN,"prothrombin, human",,
C2830183,IN,cabazitaxel,L01CD04,cabazitaxel
C2918519,IN,black imported fire ant allergenic extract,,
C2918653,IN,Equisetum arvense top extract,,
C2919267,IN,velaglucerase alfa,A16AB10,velaglucerase alfa
C2927565,IN,cayenne pepper allergenic extract,,
C2928866,MIN,calcium gluconate / calcium lactate,,
C2930041,MIN,ampicillin / sulbactam,J01CR04,sultamicillin
C2930113,PIN,incobotulinumtoxinA,,
C2930490,,,,
C2930575,,,,
C2930664,,,,
C2930696,IN,tofacitinib,L04AF01,tofacitinib
C2930716,,,,
C2930762,PIN,tedizolid phosphate,,
C2930764,,,M09AX03,ataluren
C2930789,IN,nintedanib,L01EX09,nintedanib
C2931926,IN,ruxolitinib,D11AH09;L01EJ01,ruxolitinib
C2931958,,,J05AH04,laninamivir
C2932035,,,C01CX10,omecamtiv mecarbil
C2932137,,,,
C2932486,,,L01XH06,tucidinostat
C2932852,,,,
C2933427,,,,
C2933824,,,,
C2934004,IN,fosdenopterin,A16AX19,fosdenopterin
C2934193,IN,olodaterol,R03AC19,olodaterol
C2934611,IN,boscalid,,
C2934701,IN,ponesimod,L04AE04,ponesimod
C2935023,IN,vilanterol,,
C2935131,,,L01XH07,resminostat
C2935224,,,,
C2935436,PIN,ado-trastuzumab emtansine,L01FD03,trastuzumab emtansine
C2935736,,,,
C2936385,,,,
C2936656,,,,
C2936870,IN,cariprazine,N05AX15,cariprazine
C2937409,IN,Aspergillus nidulans allergenic extract,,
C2937963,IN,peppermint allergenic extract,,
C2937983,IN,nectarine allergenic extract,,
C2937996,IN,rhubarb allergenic extract,,
C2938117,IN,sage leaf allergenic extract,,
C2938851,IN,Inula helenium root extract,,
C2939773,IN,levomefolate,,
C2947549,,,,
C2948039,IN,Arnica montana flower extract,,
C2948080,IN,synthetic camphor,,
C2948081,PIN,camphor (natural),,
C2948088,IN,Centella asiatica extract,,
C2948830,IN,Asian ginseng extract,,
C2955472,IN,"albumin microspheres, human",,
C2959378,,,,
C2961394,IN,Ocimum tenuiflorum top extract,,
C2973446,IN,brentuximab vedotin,L01FX05,brentuximab vedotin
C2973594,,,,
C2973895,IN,lixisenatide,A10BJ03,lixisenatide
C2973987,,,,
C2974168,,,,
C2974289,IN,crizotinib,L01ED01,crizotinib
C2974521,IN,vorapaxar,B01AC26,vorapaxar
C2974531,,,,
C2974540,IN,canagliflozin,A10BK02,canagliflozin
C2975054,IN,argan oil,,
C2975395,,,L01XX78,navitoclax
C2975435,IN,edoxaban,B01AF03,edoxaban
C2976303,IN,sofosbuvir,J05AP08,sofosbuvir
C2976587,,,,
C2979805,PIN,"factor XIII, human",,
C2980074,IN,selumetinib,L01EE04,selumetinib
C2980089,,,,
C2980091,IN,quizartinib,L01EX11,quizartinib
C2980094,IN,regorafenib,L01EX05,regorafenib
C2980841,IN,Trichosporon cutaneum allergenic extract,,
C2981297,,,,
C2981308,,,A10BH08,teneligliptin
C2981360,IN,lebrikizumab,D11AH10,lebrikizumab
C2982078,IN,benralizumab,R03DX10,benralizumab
C2983812,IN,mirabegron,G04BD12,mirabegron
C2983838,IN,omadacycline,J01AA15,omadacycline
C2983887,PIN,timolol anhydrous,,
C2983899,PIN,ceftazidime anhydrous,,
C2983900,PIN,edetate calcium disodium anhydrous,,
C2983918,,,,
C2983924,,,,
C2983945,IN,ozenoxacin,D06AX14,ozenoxacin
C2983984,IN,metenkefalin,,
C2983989,PIN,canagliflozin anhydrous,,
C2984037,,,,
C2984518,,,,
C2985193,,,,
C2986854,,,,
C2986882,,,,
C2986924,IN,lenvatinib,L01EX08,lenvatinib
C2987417,IN,ponatinib,L01EA05,ponatinib
C2987429,IN,teprotumumab,L04AG13,teprotumumab
C2987430,IN,dacomitinib,L01EB07,dacomitinib
C2987530,,,,
C2987549,,,,
C2987603,IN,mogamulizumab,L01FX09,mogamulizumab
C2987605,IN,dalotuzumab,,
C2987636,,,,
C2987643,,,,
C2987648,IN,afatinib,L01EB03,afatinib
C2987649,,,,
C2987651,,,,
C2987670,IN,givinostat,M09AX14,givinostat
C2987716,IN,vismodegib,L01XJ01,vismodegib
C2987740,,,,
C3152878,IN,Pacific salmon allergenic extract,,
C3159320,,,,
C3162633,PIN,vitamin E acetate,,
C3162927,,,,
C3177235,IN,cobicistat,V03AX03,cobicistat
C3177463,,,,
C3177877,,,,
C3178479,,,,
C3179470,IN,remimazolam,N05CD14,remimazolam
C3179479,,,,
C3179535,IN,suvorexant,N05CJ01,suvorexant
C3179547,IN,secukinumab,L04AC10,secukinumab
C3179549,IN,dulaglutide,A10BJ05,dulaglutide
C3181342,,,,
C3181682,IN,cabozantinib,L01EX07,cabozantinib
C3186047,,,,
C3191817,IN,balsam peru oil,,
C3192263,IN,vemurafenib,L01EC01,vemurafenib
C3194702,IN,American house dust mite allergenic extract,,
C3194704,IN,European house dust mite allergenic extract,,
C3195420,PIN,C1 esterase inhibitor (recombinant),B06AC04,conestat alfa
C3199532,,,,
C3199704,,,,
C3204554,IN,Centruroides (scorpion) immune F(ab')2 (equine),,
C3215460,,,,
C3245002,,,,
C3245083,,,,
C3247293,,,,
C3247294,,,,
C3247296,,,,
C3248039,BN,Erwinaze,,
C3252090,IN,daclatasvir,J05AP07,daclatasvir
C3252279,,,,
C3253985,IN,dolutegravir,J05AJ03,dolutegravir
C3254127,,,,
C3254591,IN,infigratinib,L01EN03,infigratinib
C3254748,IN,Schisandra chinensis fruit extract,,
C3254764,IN,amyl cinnamal,,
C3255108,IN,tocopherol,,
C3255208,PIN,asparaginase Erwinia chrysanthemi,,
C3255598,IN,hawthorn leaf with flower extract,,
C3255599,IN,Hedera helix leaf extract,,
C3255786,IN,Olea europaea leaf extract,,
C3255824,IN,methyldibromo glutaronitrile,,
C3255854,IN,Paeonia lactiflora root extract,,
C3255957,IN,maritime pine extract,,
C3256092,IN,Scutellaria baicalensis root extract,,
C3256110,IN,Ilex paraguariensis leaf extract,,
C3256216,IN,cyclomethicone 5,,
C3256481,IN,1-glyceryl monooleate,,
C3256597,IN,Atractylodes lancea root extract,,
C3256601,PIN,calcium ascorbate anhydrous,,
C3256617,IN,Forsythia suspensa fruit extract,,
C3256816,IN,Vitis vinifera seed extract,,
C3256853,IN,Lawsonia inermis leaf extract,,
C3256890,,,,
C3256960,IN,tangerine peel extract,,
C3264621,IN,ivacaftor,R07AX02,ivacaftor
C3265002,IN,avocado oil,,
C3266859,,,,
C3272344,PIN,lutetium Lu 177 dotatate,V10XX04,lutetium (177Lu) oxodotreotide
C3272418,,,,
C3272698,IN,eliglustat,A16AX10,eliglustat
C3273040,,,,
C3273375,,,,
C3273401,IN,taliglucerase alfa,A16AB11,taliglucerase alfa
C3273430,IN,condoliase,,
C3273440,IN,ibutamoren,,
C3273754,IN,efinaconazole,D01AC19,efinaconazole
C3273788,,,,
C3273827,,,,
C3273938,,,,
C3274586,,,,
C3274810,PIN,"methylephedrine, DL-",,
C3281328,,,,
C3282119,IN,Plantago ovata seed extract,,
C3282452,IN,Evernia prunastri extract,,
C3282507,IN,lentil seed extract,,
C3464497,IN,varicella-zoster virus vaccine live (Oka-Merck) strain,J07BK01,"varicella, live attenuated"
C3464953,IN,Moringa oleifera leaf extract,,
C3465042,IN,soybean seed oil,,
C3467801,,,,
C3467824,,,,
C3467876,IN,dabrafenib,L01EC02,dabrafenib
C3474322,PIN,"Japanese encephalitis virus vaccine Nakayama-NIH strain, inactivated",,
C3484402,IN,sorghum extract,,
C3484407,IN,Ambrosia artemisiifolia extract,,
C3484418,IN,Sambucus nigra flowering top,,
C3484455,IN,Ustilago maydis extract,,
C3484530,IN,beef liver preparation,,
C3485619,PIN,ziv-aflibercept,,
C3486131,IN,pork collagen preparation,,
C3486390,IN,Anacardium occidentale fruit extract,,
C3486526,IN,"Coffea arabica seed, roasted, extract",,
C3486572,PIN,binetrakin,,
C3486613,IN,Betula pendula bark extract,,
C3486626,IN,Angelica archangelica root extract,,
C3486675,IN,red pepper extract,,
C3486695,IN,Garcinia cambogia fruit extract,,
C3486724,IN,Culex pipiens preparation,,
C3486728,IN,Peumus boldus leaf extract,,
C3486733,IN,Phleum pratense top extract,,
C3486750,IN,dichromate ion,,
C3486840,IN,Passiflora incarnata flower extract,,
C3487977,IN,Pelargonium sidoides root extract,,
C3488471,IN,Artemisia vulgaris root extract,,
C3488929,IN,Melaleuca alternifolia leaf extract,,
C3489483,,,V08CA10,gadoxetic acid
C3489575,IN,"sennosides, USP",A06AB06,senna glycosides
C3489614,,,,
C3489682,,,J04AK06,delamanid
C3489748,IN,avibactam,,
C3489764,IN,ixekizumab,L04AC13,ixekizumab
C3490329,IN,glycerol phenylbutyrate,A16AX09,glycerol phenylbutyrate
C3490348,IN,empagliflozin,A10BK03,empagliflozin
C3490773,,,,
C3490795,IN,asfotase alfa,A16AB13,asfotase alfa
C3491162,IN,alirocumab,C10AX14,alirocumab
C3491331,IN,brodalumab,L04AC12,brodalumab
C3491971,IN,insulin degludec,A10AE06,insulin degludec
C3491974,IN,asunaprevir,J05AP06,asunaprevir
C3492731,,,,
C3492889,,,A10BK05,ipragliflozin
C3493164,,,,
C3493648,,,,
C3494178,,,,
C3495433,,,,
C3495485,IN,purslane extract,,
C3495673,PIN,iodide ion I-123,,
C3496084,IN,thioredoxin,,
C3496090,IN,blue crab preparation,,
C3496793,IN,enzalutamide,L02BB04,enzalutamide
C3498054,IN,5-methyltetrahydrofolic acid,,
C3499933,IN,"N,N-dimethylglycine",,
C3500695,IN,"oyster, unspecified preparation",,
C3501358,IN,ibrutinib,L01EL01,ibrutinib
C3501434,,,,
C3503116,IN,palmitate,,
C3505293,IN,medronate,,
C3505684,IN,"tocopheryl nicotinate, D-.alpha.",,
C3527640,IN,"(all-Z)-4,7,10,13,16-docosapentaenoic acid",,
C3529178,,,,
C3529352,IN,evolocumab,C10AX13,evolocumab
C3529563,PIN,turoctocog alfa,,
C3529575,,,,
C3529732,,,,
C3529928,IN,pitolisant,N07XX11,pitolisant
C3529991,,,,
C3530114,,,,
C3530899,IN,Panax notoginseng root extract,,
C3535672,IN,snail preparation,,
C3535682,IN,Bacillus anthracis strain V770-NP1-R antigens,,
C3536832,IN,air,V03AN05,medical air
C3536868,,,,
C3536876,,,N07BC03,levacetylmethadol
C3536965,IN,sulfate ion,,
C3537171,PIN,"lactic acid, L-",,
C3537278,PIN,amifostine anhydrous,,
C3539881,IN,gamma-interferon,L03AB03,interferon gamma
C3541316,PIN,sodium borate anhydrous,,
C3541379,IN,lysozyme,D06BB07;J05AX02,lysozyme
C3542463,PIN,tbo-filgrastim,,
C3555502,IN,alpha-tocopherylquinone,,
C3555537,PIN,technetium Tc 99m tilmanocept,V09IA09,technetium (99mTc) tilmanocept
C3640058,,,,
C3640098,PIN,edotreotide gallium ga-68,V09IX09,gallium (68Ga) edotreotide
C3640212,IN,lipegfilgrastim,L03AA14,lipegfilgrastim
C3642407,,,,
C3642427,IN,tavaborole,D01AE24,tavaborole
C3642440,PIN,sodium glycerophosphate anhydrous,,
C3643437,,,,
C3643461,,,,
C3645709,PIN,calcium chloride anhydrous,,
C3651730,IN,chocolate cacao bean allergenic extract,,
C3651791,IN,Panax quinquefolius whole extract,,
C3651794,IN,Calendula officinalis whole extract,,
C3652574,,,N06DX02,Ginkgo folium
C3652579,,,V09BA03,technetium (99mTc) pyrophosphate
C3652583,,,V09BA01,technetium (99mTc) oxidronic acid
C3652586,,,V09BA02,technetium (99mTc) medronic acid
C3652663,,,V03AB24,digitalis antitoxin
C3652674,,,C07AB11,s-atenolol
C3652694,,,D01AE10,ethyl hydroxybenzoate
C3652920,,,H05BA03,calcitonin (human synthetic)
C3652921,,,R03DA10,bufylline
C3653088,,,P03AB51,"clofenotane, combinations"
C3655918,,,J01FA16,solithromycin
C3657270,IN,nivolumab,L01FF01,nivolumab
C3657549,,,,
C3657824,IN,siponimod,L04AE03,siponimod
C3658295,PIN,"lactic acid, D-",,
C3658667,IN,tralokinumab,D11AH07,tralokinumab
C3658706,IN,pembrolizumab,L01FF02,pembrolizumab
C3658709,,,,
C3659218,,,,
C3659266,,,A06AX09,elobixibat
C3660912,,,,
C3660913,,,J05AX21,pentanedioic acid imidazolyl ethanamide
C3660996,IN,dupilumab,D11AH05,dupilumab
C3661274,IN,umeclidinium,,
C3661282,IN,vortioxetine,N06AX26,vortioxetine
C3661290,,,J05AP04,faldaprevir
C3661315,IN,rucaparib,L01XK03,rucaparib
C3661457,PIN,levofloxacin anhydrous,,
C3661490,PIN,cefixime anhydrous,,
C3665495,PIN,edodekin alfa,,
C3666697,IN,Oenothera biennis seed extract,,
C3666986,IN,Ostrea edulis shell preparation,,
C3667092,IN,pearl (Hyriopsis cumingii) extract,,
C3692257,,,,
C3695948,IN,Cannabis sativa susp. indica top extract,,
C3696416,IN,sucroferric oxyhydroxide,V03AE05,sucroferric oxyhydroxide
C3700393,,,C01DX21,serelaxin
C3700399,IN,naloxegol,A06AH03,naloxegol
C3700897,IN,white mustard seed extract,,
C3709760,PIN,coagulation factor XIII a-subunit (recombinant),B02BD11,catridecacog
C3710730,,,,
C3710841,,,,
C3712838,,,,
C3713057,IN,caplacizumab,B01AX07,caplacizumab
C3713514,,,,
C3713860,IN,lifitegrast,S01XA25,lifitegrast
C3713906,IN,etelcalcetide,H05BX04,etelcalcetide
C3713958,IN,tenofovir alafenamide,J05AF13,tenofovir alafenamide
C3714572,PIN,pamidronic acid,M05BA03,pamidronic acid
C3714624,PIN,methyldopa anhydrous,,
C3715099,IN,carbonate ion,,
C3814772,IN,glycopyrronium,D11AA01,glycopyrronium
C3817397,IN,elosulfase alfa,A16AB12,elosulfase alfa
C3818700,IN,coagulation factor IX recombinant immunoglobulin G1 fusion protein,,
C3818721,IN,ceritinib,L01ED02,ceritinib
C3827001,,,,
C3828267,IN,Sambucus nigra flower oil,,
C3832604,IN,Uncaria gambir whole extract,,
C3833232,IN,meadowfoam seed oil fatty acids,,
C3834083,IN,Eucalyptus gum extract,,
C3834170,IN,efmoroctocog alfa,,
C3848518,IN,isosulfan blue inner salt,,
C3848519,PIN,monofluorophosphate ion,,
C3848524,IN,monomethyl fumarate,,
C3848529,IN,nitrite ion,,
C3848530,PIN,edrophonium cation,,
C3848532,IN,methylhomatropine,,
C3848538,PIN,vecuronium cation,,
C3848546,IN,arsenite ion,,
C3848550,PIN,ipratropium cation,,
C3848552,PIN,gentian violet cation,,
C3848554,PIN,brilliant green cation,,
C3848561,IN,ferric cation,,
C3848565,IN,antimony cation (5+),,
C3848570,IN,iodide ion,,
C3848572,PIN,fluoride ion F-18,,
C3848573,IN,nitrate ion,,
C3848580,IN,peginterferon beta-1a,L03AB13,peginterferon beta-1a
C3848583,PIN,gatifloxacin anhydrous,,
C3848584,PIN,tenofovir anhydrous,,
C3848585,PIN,regadenoson anhydrous,,
C3848586,PIN,codeine anhydrous,,
C3850081,,,,
C3850086,,,,
C3850778,,,,
C3850972,,,,
C3851115,,,,
C3851350,IN,ledipasvir,,
C3852217,IN,guselkumab,L04AC16,guselkumab
C3852512,IN,dasabuvir,J05AP09,dasabuvir
C3852670,IN,ombitasvir,,
C3852671,IN,selinexor,L01XX66,selinexor
C3852684,IN,lumacaftor,,
C3852726,IN,ceftolozane,,
C3852841,IN,abemaciclib,L01EF03,abemaciclib
C3852938,IN,letermovir,J05AX18,letermovir
C3853624,IN,alpha-amylase,,
C3853822,IN,palbociclib,L01EF01,palbociclib
C3853839,IN,blinatumomab,L01FX07,blinatumomab
C3853843,,,,
C3853921,IN,alectinib,L01ED03,alectinib
C3854019,IN,gentamicin,D06AX07;J01GB03;S01AA11;S02AA14;S03AA06,gentamicin
C3856267,,,,
C3857936,IN,Turnera diffusa leaf extract,,
C3864824,IN,paritaprevir,,
C3872000,PIN,pyridoxal phosphate anhydrous,,
C3872016,PIN,peramivir anhydrous,,
C3872075,,,,
C3883805,PIN,"coagulation factor IX (recombinant), glycopegylated",,
C3885063,IN,idarucizumab,V03AB37,idarucizumab
C3885068,IN,semaglutide,A10BJ06,semaglutide
C3885145,IN,sarilumab,L04AC14,sarilumab
C3885487,,,,
C3885614,IN,brexpiprazole,N05AX16,brexpiprazole
C3885750,,,,
C3885917,,,,
C3886460,IN,avatrombopag,B02BX08,avatrombopag
C3886496,,,M09AX04,drisapersen
C3886551,,,,
C3886731,IN,sonidegib,L01XJ02,sonidegib
C3886763,IN,brincidofovir,J05AB17,brincidofovir
C3887822,,,,
C3891304,,,,
C3891959,,,,
C3892863,PIN,filgrastim-sndz,,
C3896796,,,,
C3896936,IN,relugolix,L02BX04,relugolix
C3896940,IN,gilteritinib,L01EX13,gilteritinib
C3896945,IN,"equol, (-)-",,
C3898064,,,,
C3899005,,,,
C3899947,IN,binimetinib,L01EE03,binimetinib
C4018308,PIN,ferric pyrophosphate citrate,,
C4018311,BN,Triferic,,
C4018471,IN,isavuconazonium,,
C4019900,PIN,Crotalidae immune F(ab')2 (equine),,
C4026321,IN,silk sericin,,
C4033447,IN,sacubitril,,
C4041572,,,,
C4041919,,,,
C4042342,IN,abaloparatide,H05AA04,abaloparatide
C4042960,IN,talazoparib,L01XK04,talazoparib
C4043101,IN,aducanumab,N06DX03,aducanumab
C4043705,,,,
C4044345,,,,
C4044785,,,,
C4044947,IN,baricitinib,L04AF02,baricitinib
C4045466,,,,
C4045491,IN,doravirine,J05AG06,doravirine
C4045494,IN,ribociclib,L01EF02,ribociclib
C4045501,,,S01EX07,ripasudil
C4045507,,,,
C4045511,IN,finerenone,C03DA05,finerenone
C4045514,,,,
C4045522,IN,patiromer,,
C4045546,,,,
C4045816,,,,
C4045824,IN,sodium zirconium cyclosilicate,V03AE10,sodium zirconium cyclosilicate
C4045924,,,,
C4048232,,,,
C4048265,IN,tetanus immune globulin,J06BB02,tetanus immunoglobulin
C4048612,,,,
C4048712,IN,factor IX complex,,
C4048752,IN,Ocimum tenuiflorum whole extract,,
C4049141,IN,copanlisib,L01EM02,copanlisib
C4049146,IN,cobimetinib,L01EE02,cobimetinib
C4049845,IN,2-deoxyglucose,,
C4050579,IN,sebelipase alfa,A16AB14,sebelipase alfa
C4053696,,,,
C4053876,,,,
C4054758,,,,
C4055109,IN,durvalumab,L01FF03,durvalumab
C4055417,IN,avelumab,L01FF04,avelumab
C4055433,IN,atezolizumab,L01FF05,atezolizumab
C4055478,IN,alpelisib,L01EM03,alpelisib
C4056439,IN,aripiprazole lauroxil,,
C4058704,IN,naphthoquine,,
C4058811,IN,osimertinib,L01EB04,osimertinib
C4059921,IN,trypan blue free acid,,
C4059929,IN,Ephedra sinica root extract,,
C4064080,PIN,simoctocog alfa,,
C4076257,,,,
C4076895,,,,
C4078312,IN,acalabrutinib,L01EL02,acalabrutinib
C4078701,IN,valbenazine,N07XX13,valbenazine
C4079582,IN,velpatasvir,,
C4079591,,,,
C4079830,IN,venetoclax,L01XX52,venetoclax
C4079904,IN,andexanet alfa,V03AB38,andexanet alfa
C4079994,,,,
C4080009,IN,vonoprazan,A02BC08,vonoprazan
C4080052,IN,elbasvir,J05AP10,elbasvir
C4080053,IN,grazoprevir,J05AP11,grazoprevir
C4080091,IN,lorlatinib,L01ED05,lorlatinib
C4081232,IN,Bos taurus gallstone preparation,,
C4082266,,,,
C4082270,,,,
C4082271,PIN,gluconic acid,,
C4082272,IN,arbekacin,J01GB12,arbekacin
C4082289,,,,
C4082381,,,,
C4082394,,,,
C4082435,,,,
C4082438,,,,
C4082527,,,,
C4082528,,,,
C4082558,PIN,"Rho(D) immune globulin, human",,
C4082694,,,,
C4082752,,,,
C4082771,,,V08AA02,metrizoic acid
C4083129,PIN,ovine digoxin immune fab,,
C4083155,,,,
C4083517,IN,Aloe vera leaf polysaccharides,,
C4083869,BN,Adynovate,,
C4083872,PIN,antihemophilic factor (recombinant) pegylated,,
C4084478,PIN,albutrepenonacog alfa,,
C4085891,,,,
C4086238,,,,
C4086264,IN,entrectinib,L01EX14,entrectinib
C4086509,,,,
C4086553,IN,luspatercept,B03XA06,luspatercept
C4086734,,,,
C4086895,IN,tazemetostat,L01XX72,tazemetostat
C4086998,,,,
C4224757,IN,levoglucose,,
C4238106,PIN,infliximab-dyyb,,
C4255329,,,,
C4255548,,,,
C4255551,PIN,grazoprevir anhydrous,,
C4255553,,,,
C4255566,,,,
C4255568,,,,
C4255571,,,,
C4255582,,,,
C4255584,,,,
C4255605,,,,
C4255609,,,,
C4255611,,,,
C4255612,,,,
C4255613,,,,
C4255624,,,,
C4255635,,,,
C4255637,,,,
C4255641,,,,
C4255649,,,,
C4255650,,,,
C4255697,,,,
C4255698,,,,
C4255705,,,,
C4255708,,,,
C4255714,,,,
C4255715,,,,
C4255725,,,,
C4255755,,,,
C4255812,,,,
C4255853,,,,
C4255854,,,,
C4255869,,,,
C4255874,,,,
C4255875,,,,
C4255884,,,,
C4255885,,,,
C4255891,,,,
C4255898,,,,
C4255899,,,,
C4255914,,,,
C4255917,,,,
C4255918,,,,
C4255919,,,,
C4255945,,,,
C4255947,,,,
C4255948,,,,
C4255956,,,,
C4255970,,,,
C4255983,,,,
C4255996,,,,
C4255997,,,,
C4255998,,,,
C4255999,,,,
C4256018,,,,
C4256038,,,,
C4256042,,,,
C4256055,,,,
C4256066,,,,
C4256073,,,,
C4256085,,,,
C4256086,,,,
C4256087,,,,
C4256092,,,,
C4256093,,,,
C4256095,,,,
C4256106,,,,
C4256107,,,,
C4256112,,,,
C4256124,,,,
C4256125,,,,
C4256126,,,,
C4256130,,,,
C4256131,,,,
C4256133,,,,
C4256138,,,,
C4256139,,,,
C4256140,,,,
C4256141,,,,
C4256142,,,,
C4256145,,,,
C4256149,,,,
C4256151,,,,
C4256152,,,,
C4256155,,,,
C4256156,,,,
C4256157,,,,
C4256158,,,,
C4256161,,,,
C4256162,,,,
C4256163,,,,
C4256164,,,,
C4256166,,,,
C4256789,IN,dotatate,,
C4276542,,,,
C4277369,IN,samidorphan,,
C4277781,IN,deutetrabenazine,N07XX16,deutetrabenazine
C4278198,IN,olipudase alfa,A16AB25,olipudase alfa
C4278463,IN,emicizumab,B02BX06,emicizumab
C4279595,IN,setmelanotide,A08AA12,setmelanotide
C4279622,,,,
C4279623,,,,
C4279743,IN,vibegron,G04BD15,vibegron
C4281713,IN,hydroxypropylcellulose,,
C4281720,PIN,"cytomegalovirus immune globulin, human",,
C4281722,,,,
C4281740,,,,
C4282299,,,,
C4282653,IN,Bacopa monniera whole extract,,
C4283710,IN,eteplirsen,M09AX06,eteplirsen
C4284401,,,,
C4284647,,,,
C4287716,,,,
C4287801,,,,
C4287804,IN,pexidartinib,L01EX15,pexidartinib
C4287805,,,,
C4287806,,,,
C4287808,,,,
C4287814,IN,tovorafenib,,
C4287815,IN,brigatinib,L01ED04,brigatinib
C4288135,,,,
C4288415,,,L03AA17,pegteograstim
C4291320,IN,bezlotoxumab,J06BC03,bezlotoxumab
