L1,L2,L3,L4,atc_code,CUI
"P  ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","P03  ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS","P03A  ECTOPARASITICIDES, INCL. SCABICIDES","P03AX  Other ectoparasiticides, incl. scabicides",P03AX07,C4519258
C  CARDIOVASCULAR SYSTEM,C10  LIPID MODIFYING AGENTS,"C10A  LIPID MODIFYING AGENTS, PLAIN",C10AX  Other lipid modifying agents,C10AX15,C3659310
C  CARDIOVASCULAR SYSTEM,C10  LIPID MODIFYING AGENTS,"C10B  LIPID MODIFYING AGENTS, COMBINATIONS",C10BA  Combinations of various lipid modifying agents,C10BA10,C3659310
V  VARIOUS,V03  ALL OTHER THERAPEUTIC PRODUCTS,V03A  ALL OTHER THERAPEUTIC PRODUCTS,V03AX  Other therapeutic products,V03AX04,C4519744
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01X  OTHER ANTINEOPLASTIC AGENTS,L01XX  Other antineoplastic agents,L01XX66,C3852671
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01M  QUINOLONE ANTIBACTERIALS,J01MA  Fluoroquinolones,J01MA23,C2828290
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01F  MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,L01FF  PD-1/PDL-1 (Programmed cell death protein 1/death ligand 1) inhibitors,L01FF04,C4055417
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05C  HYPNOTICS AND SEDATIVES,N05CM  Other hypnotics and sedatives,N05CM21,C4519269
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01E  PROTEIN KINASE INHIBITORS,L01EM  Phosphatidylinositol-3-kinase (Pi3K) inhibitors,L01EM04,C4079854
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01E  PROTEIN KINASE INHIBITORS,L01EB  Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors,L01EB07,C2987430
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01E  PROTEIN KINASE INHIBITORS,L01EE  Mitogen-activated protein kinase (MEK) inhibitors,L01EE03,C3899947
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04  IMMUNOSUPPRESSANTS,L04A  IMMUNOSUPPRESSANTS,L04AA  Selective immunosuppressants,L04AA51,C4519739
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01X  OTHER ANTINEOPLASTIC AGENTS,L01XJ  Hedgehog pathway inhibitors,L01XJ03,C4519273
"H  SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01  PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01C  HYPOTHALAMIC HORMONES,H01CC  Anti-gonadotropin-releasing hormones,H01CC53,C2714632
"H  SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01  PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01C  HYPOTHALAMIC HORMONES,H01CC  Anti-gonadotropin-releasing hormones,H01CC03,C2714632
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01E  PROTEIN KINASE INHIBITORS,L01EX  Other protein kinase inhibitors,L01EX14,C4086264
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04  IMMUNOSUPPRESSANTS,L04A  IMMUNOSUPPRESSANTS,L04AA  Selective immunosuppressants,L04AA36,C1882138
"P  ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01  ANTIPROTOZOALS,P01C  AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,P01CA  Nitroimidazole derivatives,P01CA02,C0053230
M  MUSCULO-SKELETAL SYSTEM,M01  ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"M01A  ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS","M01AX  Other antiinflammatory and antirheumatic agents, non-steroids",M01AX21,C0057678
B  BLOOD AND BLOOD FORMING ORGANS,B02  ANTIHEMORRHAGICS,B02B  VITAMIN K AND OTHER HEMOSTATICS,B02BX  Other systemic hemostatics,B02BX08,C3886460
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03  IMMUNOSTIMULANTS,L03A  IMMUNOSTIMULANTS,L03AX  Other immunostimulants,L03AX09,C0080225
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01E  PROTEIN KINASE INHIBITORS,L01EF  Cyclin-dependent kinase (CDK) inhibitors,L01EF03,C3852841
B  BLOOD AND BLOOD FORMING ORGANS,B02  ANTIHEMORRHAGICS,B02B  VITAMIN K AND OTHER HEMOSTATICS,B02BX  Other systemic hemostatics,B02BX09,C2713632
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01E  PROTEIN KINASE INHIBITORS,L01EM  Phosphatidylinositol-3-kinase (Pi3K) inhibitors,L01EM03,C4055478
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04  IMMUNOSUPPRESSANTS,L04A  IMMUNOSUPPRESSANTS,L04AA  Selective immunosuppressants,L04AA50,C2934701
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,J05AX  Other antivirals,J05AX24,C2713595
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D  OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03DX  Other systemic drugs for obstructive airway diseases,R03DX10,C2982078
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,J05AP  Antivirals for treatment of HCV infections,J05AP56,C4507236
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01A  TETRACYCLINES,J01AA  Tetracyclines,J01AA14,C4519292
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01A  TETRACYCLINES,J01AA  Tetracyclines,J01AA20,C4519292
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,J05AX  Other antivirals,J05AX18,C3852938
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"R03B  OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",R03BB  Anticholinergics,R03BB02,C0069776
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01D  OTHER BETA-LACTAM ANTIBACTERIALS,J01DH  Carbapenems,J01DH52,C4519317
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01E  PROTEIN KINASE INHIBITORS,L01ED  Anaplastic lymphoma kinase (ALK) inhibitors,L01ED05,C4080091
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,"N06B  PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06BX  Other psychostimulants and nootropics,N06BX18,C0059752
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01E  PROTEIN KINASE INHIBITORS,L01EX  Other protein kinase inhibitors,L01EX13,C3896940
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01E  PROTEIN KINASE INHIBITORS,L01EN  Fibroblast growth factor receptor (FGFR) tyrosine kinase inhibitors,L01EN01,C4519323
M  MUSCULO-SKELETAL SYSTEM,M05  DRUGS FOR TREATMENT OF BONE DISEASES,M05B  DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,M05BX  Other drugs affecting bone structure and mineralization,M05BX08,C0065936
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,J05AB  Nucleosides and nucleotides excl. reverse transcriptase inhibitors,J05AB17,C3886763
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,"N06B  PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06BX  Other psychostimulants and nootropics,N06BX06,C0010725
D  DERMATOLOGICALS,D11  OTHER DERMATOLOGICAL PREPARATIONS,D11A  OTHER DERMATOLOGICAL PREPARATIONS,"D11AH  Agents for dermatitis, excluding corticosteroids",D11AH05,C3660996
N  NERVOUS SYSTEM,N07  OTHER NERVOUS SYSTEM DRUGS,N07X  OTHER NERVOUS SYSTEM DRUGS,N07XX  Other nervous system drugs,N07XX16,C4277781
D  DERMATOLOGICALS,D11  OTHER DERMATOLOGICAL PREPARATIONS,D11A  OTHER DERMATOLOGICAL PREPARATIONS,"D11AH  Agents for dermatitis, excluding corticosteroids",D11AH07,C3658667
"P  ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01  ANTIPROTOZOALS,P01A  AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AB  Nitroimidazole derivatives,P01AB06,C0028095
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,N06A  ANTIDEPRESSANTS,N06AX  Other antidepressants,N06AX19,C0066624
D  DERMATOLOGICALS,D05  ANTIPSORIATICS,D05B  ANTIPSORIATICS FOR SYSTEMIC USE,D05BA  Psoralens for systemic use,D05BA03,C0049289
C  CARDIOVASCULAR SYSTEM,C03  DIURETICS,C03D  ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,C03DA  Aldosterone antagonists,C03DA03,C0006882
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03A  HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,"G03AA  Progestogens and estrogens, fixed combinations",G03AA18,C0014899
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01F  MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,L01FX  Other monoclonal antibodies and antibody drug conjugates,L01FX14,C4078806
N  NERVOUS SYSTEM,N07  OTHER NERVOUS SYSTEM DRUGS,N07X  OTHER NERVOUS SYSTEM DRUGS,N07XX  Other nervous system drugs,N07XX14,C0070694
"P  ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P02  ANTHELMINTICS,P02B  ANTITREMATODALS,P02BX  Other antitrematodal agents,P02BX04,C0077071
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03C  ADRENERGICS FOR SYSTEMIC USE,R03CC  Selective beta-2-adrenoreceptor agonists,R03CC11,C0077497
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"R03A  ADRENERGICS, INHALANTS",R03AC  Selective beta-2-adrenoreceptor agonists,R03AC11,C0077497
A  ALIMENTARY TRACT AND METABOLISM,A03  DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A  DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03AD  Papaverine and derivatives,A03AD30,C0129044
"P  ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01  ANTIPROTOZOALS,P01C  AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,P01CA  Nitroimidazole derivatives,P01CA03,C0060304
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01E  PROTEIN KINASE INHIBITORS,L01ED  Anaplastic lymphoma kinase (ALK) inhibitors,L01ED04,C4287815
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,N06D  ANTI-DEMENTIA DRUGS,N06DX  Other anti-dementia drugs,N06DX03,C4043101
D  DERMATOLOGICALS,D08  ANTISEPTICS AND DISINFECTANTS,D08A  ANTISEPTICS AND DISINFECTANTS,D08AC  Biguanides and amidines,D08AC05,C0376892
G  GENITO URINARY SYSTEM AND SEX HORMONES,G04  UROLOGICALS,G04B  UROLOGICALS,G04BD  Drugs for urinary frequency and incontinence,G04BD06,C0138666
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03X  OTHER ANTIANEMIC PREPARATIONS,B03XA  Other antianemic preparations,B03XA06,C4086553
N  NERVOUS SYSTEM,N02  ANALGESICS,N02B  OTHER ANALGESICS AND ANTIPYRETICS,N02BG  Other analgesics and antipyretics,N02BG06,C0027556
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,"J05AR  Antivirals for treatment of HIV infections, combinations",J05AR24,C4045491
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,J05AG  Non-nucleoside reverse transcriptase inhibitors,J05AG06,C4045491
C  CARDIOVASCULAR SYSTEM,C01  CARDIAC THERAPY,C01C  CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA  Adrenergic and dopaminergic agents,C01CA14,C0058702
M  MUSCULO-SKELETAL SYSTEM,M04  ANTIGOUT PREPARATIONS,M04A  ANTIGOUT PREPARATIONS,M04AB  Preparations increasing uric acid excretion,M04AB03,C0005035
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01A  TETRACYCLINES,J01AA  Tetracyclines,J01AA13,C4045520
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01A  TETRACYCLINES,J01AA  Tetracyclines,J01AA20,C4045520
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01X  OTHER ANTINEOPLASTIC AGENTS,L01XK  Poly (ADP-ribose) polymerase (PARP) inhibitors,L01XK03,C3661315
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,"J01C  BETA-LACTAM ANTIBACTERIALS, PENICILLINS","J01CR  Combinations of penicillins, incl. beta-lactamase inhibitors",J01CR50,C0076079
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,"J01C  BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CA  Penicillins with extended spectrum,J01CA17,C0076079
B  BLOOD AND BLOOD FORMING ORGANS,B01  ANTITHROMBOTIC AGENTS,B01A  ANTITHROMBOTIC AGENTS,B01AF  Direct factor Xa inhibitors,B01AF04,C2698385
A  ALIMENTARY TRACT AND METABOLISM,A16  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AB  Enzymes,A16AB18,C4519728
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04  IMMUNOSUPPRESSANTS,L04A  IMMUNOSUPPRESSANTS,L04AA  Selective immunosuppressants,L04AA42,C3657824
A  ALIMENTARY TRACT AND METABOLISM,A16  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AB  Enzymes,A16AB15,C4519112
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01D  OTHER BETA-LACTAM ANTIBACTERIALS,J01DH  Carbapenems,J01DH56,C4317244
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05A  ANTIPSYCHOTICS,N05AD  Butyrophenone derivatives,N05AD06,C0054138
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05C  HYPNOTICS AND SEDATIVES,N05CD  Benzodiazepine derivatives,N05CD14,C3179470
V  VARIOUS,V08  CONTRAST MEDIA,"V08A  X-RAY CONTRAST MEDIA, IODINATED","V08AB  Watersoluble, nephrotropic, low osmolar X-ray contrast media",V08AB11,C0296806
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01A  TETRACYCLINES,J01AA  Tetracyclines,J01AA15,C2983838
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01A  TETRACYCLINES,J01AA  Tetracyclines,J01AA20,C2983838
N  NERVOUS SYSTEM,N02  ANALGESICS,N02C  ANTIMIGRAINE PREPARATIONS,N02CD  Calcitonin gene-related peptide (CGRP) antagonists,N02CD06,C4519126
C  CARDIOVASCULAR SYSTEM,C02  ANTIHYPERTENSIVES,C02K  OTHER ANTIHYPERTENSIVES,C02KD  Serotonin antagonists,C02KD01,C0022616
J  ANTIINFECTIVES FOR SYSTEMIC USE,J02  ANTIMYCOTICS FOR SYSTEMIC USE,J02A  ANTIMYCOTICS FOR SYSTEMIC USE,J02AX  Other antimycotics for systemic use,J02AX07,C5206403
R  RESPIRATORY SYSTEM,R05  COUGH AND COLD PREPARATIONS,"R05D  COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",R05DB  Other cough suppressants,R05DB27,C0125654
B  BLOOD AND BLOOD FORMING ORGANS,B05  BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05C  IRRIGATING SOLUTIONS,B05CA  Antiinfectives,B05CA05,C0144567
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03A  HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,"G03AB  Progestogens and estrogens, sequential preparations",G03AB02,C0024321
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03A  HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,"G03AA  Progestogens and estrogens, fixed combinations",G03AA03,C0024321
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03F  PROGESTOGENS AND ESTROGENS IN COMBINATION,"G03FA  Progestogens and estrogens, fixed combinations",G03FA07,C0024321
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03D  PROGESTOGENS,G03DC  Estren derivatives,G03DC03,C0024321
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03F  PROGESTOGENS AND ESTROGENS IN COMBINATION,"G03FB  Progestogens and estrogens, sequential preparations",G03FB02,C0024321
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03A  HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03AC  Progestogens,G03AC02,C0024321
N  NERVOUS SYSTEM,N04  ANTI-PARKINSON DRUGS,N04B  DOPAMINERGIC AGENTS,N04BC  Dopamine agonists,N04BC08,C0031979
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01E  PROTEIN KINASE INHIBITORS,L01EM  Phosphatidylinositol-3-kinase (Pi3K) inhibitors,L01EM02,C4049141
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03C  ESTROGENS,"G03CA  Natural and semisynthetic estrogens, plain",G03CA09,C0072151
N  NERVOUS SYSTEM,N02  ANALGESICS,N02A  OPIOIDS,N02AC  Diphenylpropylamine derivatives,N02AC03,C0031982
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01F  MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,L01FX  Other monoclonal antibodies and antibody drug conjugates,L01FX09,C2987603
D  DERMATOLOGICALS,D10  ANTI-ACNE PREPARATIONS,D10A  ANTI-ACNE PREPARATIONS FOR TOPICAL USE,D10AX  Other anti-acne preparations for topical use,D10AX06,C4730996
G  GENITO URINARY SYSTEM AND SEX HORMONES,G01  GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"G01A  ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AE  Sulfonamides,G01AE10,C3886623
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01E  PROTEIN KINASE INHIBITORS,L01EJ  Janus-associated kinase (JAK) inhibitors,L01EJ02,C3886623
R  RESPIRATORY SYSTEM,R06  ANTIHISTAMINES FOR SYSTEMIC USE,R06A  ANTIHISTAMINES FOR SYSTEMIC USE,R06AX  Other antihistamines for systemic use,R06AX25,C0171302
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03  IMMUNOSTIMULANTS,L03A  IMMUNOSTIMULANTS,L03AA  Colony stimulating factors,L03AA03,C0218633
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04  IMMUNOSUPPRESSANTS,L04A  IMMUNOSUPPRESSANTS,L04AA  Selective immunosuppressants,L04AA47,C4519594
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05A  ANTIPSYCHOTICS,"N05AH  Diazepines, oxazepines, thiazepines and oxepines",N05AH53,C4277369
B  BLOOD AND BLOOD FORMING ORGANS,B01  ANTITHROMBOTIC AGENTS,B01A  ANTITHROMBOTIC AGENTS,B01AC  Platelet aggregation inhibitors excl. heparin,B01AC10,C0063479
A  ALIMENTARY TRACT AND METABOLISM,A03  DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A  DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA  Synthetic anticholinergics, esters with tertiary amino group",A03AA04,C0065832
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01E  PROTEIN KINASE INHIBITORS,L01EA  BCR-ABL tyrosine kinase inhibitors,L01EA06,C4508722
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01G  AMINOGLYCOSIDE ANTIBACTERIALS,J01GB  Other aminoglycosides,J01GB08,C0037209
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04  IMMUNOSUPPRESSANTS,L04A  IMMUNOSUPPRESSANTS,L04AA  Selective immunosuppressants,L04AA38,C4278675
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01G  AMINOGLYCOSIDE ANTIBACTERIALS,J01GB  Other aminoglycosides,J01GB14,C3502652
G  GENITO URINARY SYSTEM AND SEX HORMONES,G01  GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"G01A  ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AX  Other antiinfectives and antiseptics,G01AX66,C0069351
A  ALIMENTARY TRACT AND METABOLISM,A01  STOMATOLOGICAL PREPARATIONS,A01A  STOMATOLOGICAL PREPARATIONS,A01AB  Antiinfectives and antiseptics for local oral treatment,A01AB24,C0069351
R  RESPIRATORY SYSTEM,R02  THROAT PREPARATIONS,R02A  THROAT PREPARATIONS,R02AA  Antiseptics,R02AA21,C0069351
D  DERMATOLOGICALS,D08  ANTISEPTICS AND DISINFECTANTS,D08A  ANTISEPTICS AND DISINFECTANTS,D08AJ  Quaternary ammonium compounds,D08AJ57,C0069351
V  VARIOUS,V04  DIAGNOSTIC AGENTS,V04C  OTHER DIAGNOSTIC AGENTS,V04CD  Tests for pituitary function,V04CD05,C1961852
C  CARDIOVASCULAR SYSTEM,C02  ANTIHYPERTENSIVES,"C02C  ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",C02CA  Alpha-adrenoreceptor antagonists,C02CA06,C0077857
J  ANTIINFECTIVES FOR SYSTEMIC USE,J04  ANTIMYCOBACTERIALS,J04A  DRUGS FOR TREATMENT OF TUBERCULOSIS,J04AD  Thiocarbamide derivatives,J04AD01,C0033705
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01X  OTHER ANTINEOPLASTIC AGENTS,L01XX  Other antineoplastic agents,L01XX69,C3898565
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01F  MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,L01FB  CD22 (Clusters of Differentiation 22) inhibitors,L01FB02,C2717021
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,J05AX  Other antivirals,J05AX23,C1434792
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05A  ANTIPSYCHOTICS,N05AB  Phenothiazines with piperazine structure,N05AB10,C0030969
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,"A10B  BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BK  Sodium-glucose co-transporter 2 (SGLT2) inhibitors,A10BK06,C3502471
C  CARDIOVASCULAR SYSTEM,C03  DIURETICS,"C03B  LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BX  Other low-ceiling diuretics,C03BX03,C0056686
A  ALIMENTARY TRACT AND METABOLISM,A14  ANABOLIC AGENTS FOR SYSTEMIC USE,A14A  ANABOLIC STEROIDS,A14AA  Androstan derivatives,A14AA09,C0028355
G  GENITO URINARY SYSTEM AND SEX HORMONES,G02  OTHER GYNECOLOGICALS,G02A  UTEROTONICS,G02AD  Prostaglandins,G02AD01,C0012471
D  DERMATOLOGICALS,D10  ANTI-ACNE PREPARATIONS,D10A  ANTI-ACNE PREPARATIONS FOR TOPICAL USE,D10AD  Retinoids for topical use in acne,D10AD06,C4519213
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01X  OTHER ANTIBACTERIALS,J01XX  Other antibacterials,J01XX12,C4482908
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01A  ALKYLATING AGENTS,L01AA  Nitrogen mustard analogues,L01AA08,C0032949
"P  ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01  ANTIPROTOZOALS,P01A  AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AB  Nitroimidazole derivatives,P01AB07,C0074246
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01R  COMBINATIONS OF ANTIBACTERIALS,J01RA  Combinations of antibacterials,J01RA07,C0074246
A  ALIMENTARY TRACT AND METABOLISM,A16  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AB  Enzymes,A16AB25,C4278198
